Filename,Component,Volume,Centerline Length
colon_0808-supine.mha,1,1419546.0,3458
colon_0585-prone.mha,1,1351188.0,2836
colon_0602-prone.mha,1,1773676.0,3141
colon_0064-supine.mha,1,329022.0,971
colon_0064-supine.mha,2,717958.0,985
colon_0064-supine.mha,3,1159603.0,3445
colon_0064-supine.mha,4,6475.0,91
colon_0064-supine.mha,5,3365.0,154
colon_0064-supine.mha,6,18093.0,63
colon_0790-supine.mha,1,2839439.0,3888
colon_0152-prone.mha,1,1365061.0,2534
colon_0155-prone.mha,1,716762.0,774
colon_0155-prone.mha,2,930865.0,1639
colon_0321-prone.mha,1,351180.0,1349
colon_0321-prone.mha,2,444104.0,1329
colon_0321-prone.mha,3,30905.0,94
colon_0210-prone.mha,1,2163423.0,4382
colon_0582-supine.mha,1,1850739.0,3860
colon_0404-supine.mha,1,2338043.0,2258
colon_0687-supine.mha,1,1224425.0,2860
colon_0109-prone.mha,1,268522.0,787
colon_0109-prone.mha,2,291747.0,1345
colon_0109-prone.mha,3,425477.0,889
colon_0540-prone.mha,1,1416420.0,2893
colon_0468-prone.mha,1,1609515.0,7980
colon_0373-prone.mha,1,117047.0,487
colon_0373-prone.mha,2,1081853.0,3398
colon_0373-prone.mha,3,15251.0,52
colon_0083-supine.mha,1,256968.0,394
colon_0083-supine.mha,2,3325.0,54
colon_0083-supine.mha,3,278816.0,654
colon_0083-supine.mha,4,604820.0,4802
colon_0041-supine.mha,1,2272951.0,3374
colon_0293-supine.mha,1,2298824.0,5478
colon_0730-prone.mha,1,1542136.0,2322
colon_0234-supine.mha,1,22874.0,191
colon_0234-supine.mha,2,864512.0,2076
colon_0506-supine.mha,1,1697565.0,7145
colon_0759-supine.mha,1,825422.0,2202
colon_0759-supine.mha,2,863364.0,1271
colon_0028-supine.mha,1,319380.0,665
colon_0028-supine.mha,2,1780290.0,1703
colon_0028-supine.mha,3,188462.0,1141
colon_0276-supine.mha,1,2121089.0,4267
colon_0806-prone.mha,1,2310438.0,10072
colon_0329-prone.mha,1,2201400.0,2949
colon_0496-supine.mha,1,408581.0,698
