Filename,Component,Volume,Centerline Length
colon_0404-supine.mha,1,2281096.0,27815
colon_0540-prone.mha,1,1295391.0,48630
colon_0468-prone.mha,1,1569565.0,12082
colon_0468-prone.mha,2,326.0,2
colon_0028-supine.mha,1,2282368.0,81608
colon_0276-supine.mha,1,2005081.0,133461
colon_0191-supine.mha,1,2720496.0,110726
colon_0633-supine.mha,1,1878082.0,16717
colon_0358-prone.mha,1,2406195.0,48898
colon_0436-prone.mha,1,1173951.0,10265
colon_0038-prone.mha,1,1705176.0,70484
colon_0825-prone.mha,1,2504501.0,174335
colon_0678-prone.mha,1,4344608.0,15029
colon_0294-supine.mha,1,1739283.0,136146
colon_0541-supine.mha,1,1965713.0,18765
colon_0620-supine.mha,1,2487576.0,9564
colon_0208-supine.mha,1,1254089.0,58329
colon_0649-supine.mha,1,3160584.0,13811
colon_0649-supine.mha,2,967.0,11
colon_0052-supine.mha,1,1073969.0,7163
colon_0052-supine.mha,2,156.0,22
colon_0052-supine.mha,3,325.0,32
colon_0052-supine.mha,4,164.0,25
colon_0182-prone.mha,1,386473.0,1407
colon_0182-prone.mha,2,1239907.0,2126
colon_0349-prone.mha,1,2407699.0,3183
colon_0062-supine.mha,1,1436607.0,29924
colon_0162-prone.mha,1,2446062.0,4949
colon_0605-prone.mha,1,2803192.0,39938
colon_0605-prone.mha,2,102.0,2
colon_0807-supine.mha,1,145.0,52
colon_0807-supine.mha,2,1775567.0,9311
colon_0746-supine.mha,1,2488818.0,213774
colon_0274-prone.mha,1,1334428.0,6215
colon_0468-supine.mha,1,1945080.0,8923
colon_0642-prone.mha,1,1984356.0,20188
colon_0145-prone.mha,1,1482458.0,23050
colon_0022-supine.mha,1,3106580.0,87244
colon_0783-supine.mha,1,2513250.0,111308
colon_0768-prone.mha,1,2299373.0,5743
colon_0726-supine.mha,1,2093735.0,64783
colon_0140-prone.mha,1,1613795.0,47910
colon_0161-supine.mha,1,2623403.0,94272
colon_0758-supine.mha,1,1920067.0,31908
colon_0228-prone.mha,1,2688992.0,31395
colon_0003-supine.mha,1,2116324.0,8964
colon_0399-supine.mha,1,1547060.0,5293
colon_0046-supine.mha,1,875108.0,12992
colon_0543-supine.mha,1,1544106.0,11146
colon_0349-supine.mha,1,2066276.0,6589
colon_0231-supine.mha,1,357045.0,27690
colon_0231-supine.mha,2,991262.0,13215
colon_0214-supine.mha,1,2823527.0,205308
colon_0343-supine.mha,1,1610428.0,9763
colon_0590-prone.mha,1,2139296.0,13384
colon_0590-prone.mha,2,242.0,21
colon_0465-prone.mha,1,2155788.0,110583
colon_0092-prone.mha,1,1727400.0,39827
colon_0519-prone.mha,1,2095525.0,33509
colon_0528-supine.mha,1,2988786.0,28711
colon_0486-supine.mha,1,2087709.0,118497
colon_0091-supine.mha,1,2151581.0,23639
colon_0330-prone.mha,1,1447804.0,112463
colon_0221-prone.mha,1,1660095.0,28901
colon_0381-supine.mha,1,2035342.0,95939
colon_0027-supine.mha,1,2033952.0,21250
colon_0027-supine.mha,2,100.0,2
colon_0134-supine.mha,1,3169450.0,40306
colon_0146-prone.mha,1,1783655.0,59126
colon_0146-prone.mha,2,190.0,8
colon_0646-supine.mha,1,2355.0,118
colon_0646-supine.mha,2,1705175.0,6320
colon_0617-prone.mha,1,2635522.0,25506
colon_0346-prone.mha,1,1879012.0,14520
colon_0459-supine.mha,1,2094196.0,57243
colon_0459-supine.mha,2,194.0,16
colon_0312-supine.mha,1,2080153.0,63572
colon_0480-supine.mha,1,1902885.0,55017
colon_0480-supine.mha,2,287.0,17
colon_0772-prone.mha,1,1659449.0,34499
colon_0456-prone.mha,1,1778736.0,17505
colon_0047-supine.mha,1,2438004.0,59927
colon_0797-supine.mha,1,1043653.0,8807
colon_0629-supine.mha,1,1594450.0,80046
colon_0385-supine.mha,1,1445073.0,10290
colon_0385-supine.mha,2,518.0,9
colon_0385-supine.mha,3,232.0,11
colon_0004-prone.mha,1,1653999.0,16527
colon_0618-prone.mha,1,1684949.0,15622
colon_0778-supine.mha,1,216358.0,11268
colon_0778-supine.mha,2,1149499.0,4014
colon_0769-prone.mha,1,2270285.0,10566
colon_0819-prone.mha,1,2426213.0,27276
colon_0399-prone.mha,1,1556513.0,5440
colon_0513-prone.mha,1,173.0,67
colon_0513-prone.mha,2,2132143.0,8327
colon_0799-prone.mha,1,1357028.0,23787
colon_0799-prone.mha,2,369.0,19
colon_0192-prone.mha,1,2153298.0,58075
colon_0473-supine.mha,1,3320745.0,69773
colon_0165-supine.mha,1,1876159.0,10813
colon_0198-prone.mha,1,2461294.0,7645
colon_0631-supine.mha,1,2006224.0,67099
colon_0095-prone.mha,1,2398885.0,39980
colon_0223-prone.mha,1,1825476.0,23958
colon_0771-supine.mha,1,2634648.0,5328
colon_0043-supine.mha,1,2396135.0,31430
colon_0627-supine.mha,1,2648789.0,29172
colon_0479-supine.mha,1,2161987.0,91219
colon_0066-prone.mha,1,2300297.0,24254
colon_0001-supine.mha,1,1775970.0,6439
colon_0218-prone.mha,1,1889139.0,41367
colon_0659-prone.mha,1,1891636.0,13174
colon_0613-supine.mha,1,152.0,42
colon_0613-supine.mha,2,909717.0,14356
colon_0111-supine.mha,1,2002300.0,19835
colon_0761-prone.mha,1,2150346.0,15992
colon_0761-prone.mha,2,112.0,2
colon_0396-supine.mha,1,1321040.0,58386
colon_0686-supine.mha,1,1909479.0,7848
colon_0215-prone.mha,1,943320.0,26352
colon_0597-supine.mha,1,230.0,12
colon_0597-supine.mha,2,227778.0,986
colon_0597-supine.mha,3,1084131.0,2045
colon_0822-prone.mha,1,1273069.0,35099
colon_0125-supine.mha,1,1977193.0,55615
colon_0177-supine.mha,1,2014195.0,6288
colon_0139-prone.mha,1,2139776.0,178603
colon_0198-supine.mha,1,2415095.0,4699
colon_0217-supine.mha,1,1827983.0,63373
colon_0298-supine.mha,1,1782774.0,18223
colon_0303-supine.mha,1,1802648.0,19152
colon_0005-prone.mha,1,1355485.0,12848
colon_0005-prone.mha,2,100.0,1
colon_0005-prone.mha,3,218.0,12
colon_0005-prone.mha,4,100.0,6
colon_0005-prone.mha,5,156.0,3
colon_0098-supine.mha,1,1721394.0,98154
colon_0158-prone.mha,1,1827984.0,39422
colon_0656-prone.mha,1,1194878.0,29267
